t;AMPAR;AMPAR_bulk;AMPAR_P831;AMPAR_P845;AMPAR_P845_P831;Anchor;J__01_AMPAR_Transport;J__02_AMPAR_Phospho845;J__03_AMPAR_P845_Dephospho;J__04_AMPAR_P831_Phospho845;J__05_AMPAR_P831_P45_Dephospho;J__06_AMPAR_P845_int;J__07_AMPAR_P845_P831_int;J__08_mAMPAR_P845_Phospho831;J__09_mAMPAR_P845_P831_Dephospho831;J__10_mAMPAR_Phospho845;J__11_mAMPAR_P845_Dephospho845;J__12_mAMPAR_sep;J__13_mAMPAR_P845_P831_Dephospho845;J__14_mAMPAR_Phospho831;J__15_mAMPAR_P831_Dephospho831;J__16_mAMPAR_P831_Phospho845;J__17_mAMPAR_P831_sep;mAMPAR;mAMPAR_P831;mAMPAR_p845;mAMPAR_p845_p831;PKA;PP1
20.0;3.560188131190395E-6;1.9998E-4;1.9787996500930006E-10;4.105230206039889E-8;2.2612001544446384E-11;733.4142725252659;3.9451868809604784E-8;1.0548969825224477E-7;6.621338165157322E-8;5.863262514902172E-12;3.647097023031777E-11;1.4147382330854066E-6;-1.1935117023047432E-9;2.914063141371709E-8;8.51623140577765E-10;8.984305306476379E-10;8.606225553245016E-8;3.25438621339668E-10;8.51623140577765E-10;8.984305306476379E-10;3.5751073949768707E-11;1.2105284843098116E-11;4.3848990483409975E-12;8.135965533491699E-7;1.0962247620852494E-8;2.638904455934989E-5;2.611307242637501E-7;0.018519;0.24999999999999997
22.0;3.5605275069406183E-6;1.9998E-4;2.657697442082268E-10;4.126751318456429E-8;2.7735842556308294E-11;733.4142697111873;3.9112493059381326E-8;1.0549975407237961E-7;6.656049627579351E-8;7.874863828229339E-12;4.4735229925527015E-11;1.4026238185166964E-6;-1.42853824736898E-9;3.198933113436969E-8;1.0301596474457562E-9;1.0926293899210309E-9;9.447543387734095E-8;3.957833029741856E-10;1.0301596474457562E-9;1.0926293899210309E-9;4.801065857544498E-11;1.6256370324337336E-11;5.8885473321159174E-12;9.89458257435464E-7;1.4721368330289792E-8;2.8968758239527515E-5;3.158748542356229E-7;0.018519;0.24999999999999997
24.0;3.560872785401558E-6;1.9998E-4;3.4673702348315245E-10;4.147918379368581E-8;3.33647440455012E-11;733.4142669217289;3.876721459844172E-8;1.0550998479186007E-7;6.690190039292477E-8;1.0273956699665239E-11;5.3814103293403564E-11;1.390733177541806E-6;-1.6788887519625776E-9;3.478778734113046E-8;1.223097425074809E-9;1.3041892420615237E-9;1.0274022489625022E-7;4.724166599130286E-10;1.223097425074809E-9;1.3041892420615237E-9;6.268848039299E-11;2.1226268972385724E-11;7.688794425812426E-12;1.1810416497825714E-6;1.9221986064531063E-8;3.1502972735538986E-5;3.750348042376683E-7;0.018519;0.24999999999999997
26.0;3.5612080623356606E-6;1.9998E-4;4.415742142870705E-10;4.1687082955071736E-8;3.949312766699661E-11;733.41426415652;3.8431937664339E-8;1.0551991916266073E-7;6.723722153100721E-8;1.3084020597470932E-11;6.369859300316983E-11;1.3790504035390376E-6;-1.943387287142454E-9;3.7536933243184664E-8;1.4298670291470475E-9;1.5327209981814531E-9;1.1085938473375407E-7;5.551977525011147E-10;1.4298670291470475E-9;1.5327209981814531E-9;7.995552398931958E-11;2.707287603131515E-11;9.806611732002553E-12;1.3879943812527868E-6;2.451652933000638E-8;3.399253313231904E-5;4.38435967270933E-7;0.018519;0.24999999999999997
28.0;3.561534042228817E-6;1.9998E-4;5.510414294829024E-10;4.189126345168093E-8;4.611509856880105E-11;733.4142614151922;3.810595777118243E-8;1.0552957805894082E-7;6.756654482384688E-8;1.6327577969750943E-11;7.437919122893715E-11;1.3675708079177953E-6;-2.2208741585378796E-9;4.023770458212911E-8;1.6499005234930645E-9;1.7778310106691037E-9;1.1883567701091641E-7;6.439839897794496E-10;1.6499005234930645E-9;1.7778310106691037E-9;9.998102199339315E-11;3.385349353382009E-11;1.226275577423994E-11;1.609959974448624E-6;3.065688943559985E-8;3.643828680838124E-5;5.059041987764855E-7;0.018519;0.24999999999999997
30.0;3.561853307317982E-6;1.9998E-4;6.758476403227042E-10;4.209183303883496E-8;5.322456235059812E-11;733.4142586973788;3.778669268201768E-8;1.05539037993269E-7;6.789004407032606E-8;2.0025635918208713E-11;8.584606829267723E-11;1.3562919482861667E-6;-2.510232993958457E-9;4.2891027567615143E-8;1.8826444109800072E-9;2.0391297355265273E-9;1.2667183719522627E-7;7.386342672446372E-10;1.8826444109800072E-9;2.0391297355265273E-9;1.2292848339016173E-10;4.162348549154196E-11;1.5077281066462937E-11;1.846585668111593E-6;3.769320266615734E-8;3.884107251061828E-5;5.772697815955874E-7;0.018519;0.24999999999999997
32.0;3.562167086428138E-6;1.9998E-4;8.166462339436893E-10;4.228888244680521E-8;6.081527290296619E-11;733.4142560027169;3.7472913571861545E-8;1.0554833537615195E-7;6.820786560957482E-8;2.4197554564975533E-11;9.808914982425086E-11;1.345210811391127E-6;-2.8103983116649556E-9;4.549781413557037E-8;2.1275634911761504E-9;2.3162345236133014E-9;1.3437055859660934E-7;8.390099779211609E-10;2.1275634911761504E-9;2.3162345236133014E-9;1.489545229740587E-10;5.043588154898608E-11;1.826939654449958E-11;2.097524944802902E-6;4.5673491361248947E-8;4.120171606025159E-5;6.523686088338046E-7;0.018519;0.24999999999999997
34.0;3.56247568723813E-6;1.9998E-4;9.740354075120931E-10;4.2482484662089965E-8;6.888085708988233E-11;733.4142533308475;3.716431276186968E-8;1.055574793242197E-7;6.852012716174107E-8;2.8861058731249874E-11;1.110981565718988E-10;1.3343238013345227E-6;-3.120356533324692E-9;4.8058959645734215E-8;2.3841416717977925E-9;2.6087704416556195E-9;1.4193448556756426E-7;9.449753097552966E-10;2.3841416717977925E-9;2.6087704416556195E-9;1.782086330647588E-10;6.03412996866835E-11;2.185743756682579E-11;2.362438274388241E-6;5.464359391706447E-8;4.35210282677644E-5;7.310424326722992E-7;0.018519;0.24999999999999997
36.0;3.5627791561523484E-6;1.9998E-4;1.1485601329678305E-9;4.2672705523961826E-8;7.741483131256896E-11;733.4142506814167;3.686084384765124E-8;1.0556647121245035E-7;6.882693491919156E-8;3.40322961534665E-11;1.2486263111812338E-10;1.3236271654541294E-6;-3.439144835391803E-9;5.0575342024278344E-8;2.6518817678883952E-9;2.916370432350848E-9;1.493662109711239E-7;1.0563973036095E-9;2.6518817678883952E-9;2.916370432350848E-9;2.108332685926689E-10;7.138797503109125E-11;2.585887635038249E-11;2.6409932590237495E-6;6.464719087595622E-8;4.5799804156469014E-5;8.131388027904436E-7;0.018519;0.24999999999999997
38.0;3.5630775389243767E-6;1.9998E-4;1.3407145793286223E-9;4.285960906807933E-8;8.641061494010887E-11;733.4142480540758;3.656246107562298E-8;1.055753123965384E-7;6.912839216523805E-8;3.972590925713585E-11;1.3937195954197166E-10;1.313117206417022E-6;-3.765849327510041E-9;5.3047821699908915E-8;2.9303049760641753E-9;3.2386752543750695E-9;1.5666827599223412E-7;1.1731458315310388E-9;2.9303049760641753E-9;3.2386752543750695E-9;2.46964032913265E-10;8.362182277119816E-11;3.0290344760869425E-11;2.932864578827597E-6;7.572586190217356E-8;4.8038822904632324E-5;8.985109051550391E-7;0.018519;0.24999999999999997
40.0;3.5633709152131572E-6;1.9998E-4;1.5509446153708214E-9;4.304325861631707E-8;9.586154228711673E-11;733.4142454484816;3.626908478684242E-8;1.0558400523680571E-7;6.942460103192733E-8;4.595510931227723E-11;1.546153907378603E-10;1.3027903235069693E-6;-4.099603060747326E-9;5.547724186264152E-8;3.2189502559305645E-9;3.57533335092373E-9;1.6384317090209165E-7;1.2950935491331807E-9;3.2189502559305645E-9;3.57533335092373E-9;2.867298925716033E-10;9.708651087763577E-11;3.516766065380175E-11;3.2377338728329514E-6;8.791915163450437E-8;5.0238848079806566E-5;9.870173723456413E-7;0.018519;0.24999999999999997
